Ministry,Topic Key,Name,Description,Keywords,Keyword Groups,Category
Communications,internet_digital_access,Internet & Digital Access,"Internet penetration and broadband. Covers broadband plan, right of way for fibre optics, cost of data, and ISP services.","internet access, broadband penetration, fibre optic, cost of data, data price, ISP, internet speed",,communications
Communications,digital_id_platforms,Digital ID & National Platforms,"Identity management. Covers NIMC (National Identity Management Commission), NIN (National Identification Number), NIN-SIM linkage, and national database.","NIMC, NIN, National Identification Number, NIN-SIM linkage, national identity card, digital ID",,communications
Communications,cybersecurity_trust,Cybersecurity & Digital Trust,"Online safety and security. Covers cyber threats, phishing, awareness campaigns, and building trust in digital platforms.","cybersecurity awareness, online safety, digital trust, cyber threat, hacking alert",,communications
Communications,data_protection_regulation,Data Protection & Regulation,"Privacy laws and enforcement. Covers NDPC (Nigeria Data Protection Commission), GDPR compliance, and data breaches.","NDPC, Data Protection Commission, data privacy, data breach, privacy violation, data regulation",,communications
Communications,digital_economy_innovation,Digital Economy & Innovation,"Growth of the tech ecosystem. Includes startups, tech hubs, 3MTT (3 Million Technical Talent) program, and digital skills training.","3MTT, tech talent, digital skills, Nigerian startup, tech ecosystem, digital economy growth, innovation hub",,communications
Communications,egovernance_services,E-Governance & Digital Public Services,"Digitization of government services. Includes digital public infrastructure (DPI), e-government portals, and galaxy backbone.","e-governance, digital public infrastructure, DPI, Galaxy Backbone, government portal, paperless government",,communications
Communications,comms_fintech_payments,Fintech & Digital Payments,"Intersection of tech and finance from a digital economy perspective. Covers payment gateways, tech regulation for fintechs.","fintech regulation, digital payment, tech startup finance, payment gateway",,communications
Communications,cybersecurity_infrastructure_crisis,Cybersecurity Infrastructure & Crisis,Major cyber incidents and infrastructure defense. Covers NITDA's role in crisis response and protection of critical digital assets.,"NITDA, cyber attack government, critical information infrastructure, CERRT",,communications
Communications,digital_sovereignty,Digital Sovereignty & Future Infrastructure,"Control over national digital assets. Includes data localization, cloud sovereignty, and subsea cables.","data localization, hosted in nigeria, subsea cable, mainone cable, digital sovereignty",,communications
Communications,ai_future_policy,AI & Future Policy,"Artificial Intelligence strategies. Includes National AI Strategy, robotics, and emerging tech regulation.","National AI Strategy, Artificial Intelligence Nigeria, AI regulation, emerging technology",,communications
Communications,internet_governance_rights,Internet Governance & Digital Rights,"Rights of internet users. Includes freedom of expression online, internet shutdowns, and social media regulation bills.","digital rights, internet freedom, social media bill, internet shutdown, online hate speech bill",,communications
Communications,comms_misinformation,Misinformation & Information Integrity,Combating fake news. Includes fact-checking initiatives and government response to viral falsehoods.,"fake news, misinformation, disinformation, fact check, information integrity",,communications
Communications,comms_media_stakeholders,Media & Stakeholders,Relationship with tech media and stakeholders. Includes interactions with ALTON (Association of Licensed Telecom Operators of Nigeria) and ATCON.,"ALTON, ATCON, telecom union, tech news, industry stakeholder communication",,communications
Communications,comms_public_sentiment,Public Sentiment & Policy Perception,General public view of digital policies. Includes reaction to NIN-SIM blocking and data prices.,"NIN blocked, SIM blocked, data expensive, comms policy complaint",,communications
Communications,comms_economic_impact,Economic Impact,Contribution of ICT to GDP. Includes telecom sector revenue and digital job creation.,"ICT contribution to GDP, telecom revenue, digital job creation, tech sector growth",,communications
Communications,comms_regional_local,Regional & Local Signals,Digital access in rural vs urban areas.,"rural telephony, underserved area internet, digital divide nigeria",,communications
Defence,defence_leadership_governance,Ministry Leadership & Governance,"Leadership of the defense sector. Includes the Minister of Defence, Chief of Defence Staff (CDS), and Defence Headquarters (DHQ) strategic communications.","Minister of Defence, Badaru Abubakar, Bello Matawalle, Chief of Defence Staff, CDS, Defence Headquarters, DHQ, defence budget, military hierarchy",,defence
Defence,defence_operations_command,Defence Operations Command Structure,"Operational command and control. Covers different theatre commands, Operation Hadin Kai, Operation Whirl Stroke, and military restructuring.","Theatre Command, Operation Hadin Kai, Operation Whirl Stroke, Operation Safe Haven, Operation Delta Safe, JTF, Joint Task Force, GOC, General Officer Commanding",,defence
Defence,counter_insurgency_northeast,Counter-Insurgency – Northeast,"War against terrorism in the Northest (Borno, Yobe, Adamawa). Covers Boko Haram, ISWAP (Islamic State West Africa Province), Sambisa Forest operations, and terrorist surrender.","Boko Haram, ISWAP, terrorist, insurgent, Sambisa Forest, Lake Chad region, terrorist surrender, repentant boko haram, IED attack, ambush soldier",,defence
Defence,counter_insurgency_northwest,Counter-Insurgency – Northwest,"Security operations in Northwest (Zamfara, Kaduna, Katsina, Sokoto). Covers banditry, kidnapping, cattle rustling, and military raids on bandit camps.","bandit, banditry, kidnapper, cattle rustler, forest raid, bandit kingpin, Turji, military airstrike bandit",,defence
Defence,counter_insurgency_middle_belt,Counter-Insurgency – Middle Belt,"Conflict in North Central (Plateau, Benue, Niger). Covers farmer-herder crisis, communal clashes, and military peacekeeping.","herdsmen attack, communal clash, Plateau killing, Benue attack, military peacekeeper, militia attack",,defence
Defence,multinational_regional_ops,Multinational & Regional Operations,Cross-border military cooperation. Includes MNJTF (Multinational Joint Task Force) operating in Lake Chad Basin.,"MNJTF, Multinational Joint Task Force, Lake Chad Basin, regional security, cross-border operation",,defence
Defence,nigerian_army_operations,Nigerian Army Operations & Divisions,"Activities specific to the Nigerian Army. Includes Chief of Army Staff (COAS), infantry operations, and recruitment.","Nigerian Army, COAS, Chief of Army Staff, soldier, army recruitment, army checkpoint, army division",,defence
Defence,nigerian_navy_maritime,Nigerian Navy & Maritime Operations,"Naval operations in the Niger Delta and Gulf of Guinea. Covers oil theft, illegal refining, privacy, pipeline protection, and Chief of Naval Staff (CNS).","Nigerian Navy, CNS, Chief of Naval Staff, oil theft, illegal refinery, bunkering, sea pirate, Gulf of Guinea, naval operation",,defence
Defence,nigerian_air_force,Nigerian Air Force Operations,"Air operations and aerial bombardment. Covers Chief of Air Staff (CAS), Super Tucano jets, airstrikes on terrorist camps, and UAV deployment.","Nigerian Air Force, NAF, CAS, Chief of Air Staff, airstrike, Super Tucano, fighter jet, aerial bombardment, NAF helicopter",,defence
Defence,military_equipment_procurement,Military Equipment & Defence Procurement,"Acquisition of arms and logistics. Includes purchase of fighter jets, armored personnel carriers (APCs), DICON (Defence Industries Corporation of Nigeria), and budget allocation for weapons.","arms procurement, military hardware, fighter jet purchase, APC, armored vehicle, DICON, weapon purchase, defence spending",,defence
